artist,attack,cardClass,collectible,cost,dbfId,flavor,health,howToEarnGolden,id,mechanics,name,race,races,rarity,set,text,type,collectionText,referencedTags,spellSchool,elite,runeCost,targetingArrowText,armor,classes,heroPowerDbfId,hasDiamondSkin,durability,faction,spellDamage,overload,howToEarn,countAsCopyOfDbfId,techLevel,isMiniSet,hideStats,rarity_cn,total_stats,expected_stats,efficiency,class_cn
Dan Scott,7.0,SHAMAN,True,5,69627,硬如磐石，坚不可破。,9.0,使用萨满祭司赢得250场对战后解锁。,CORE_EX1_250,"['OVERLOAD', 'TAUNT']",土元素,ELEMENTAL,['ELEMENTAL'],EPIC,CORE,<b>嘲讽</b>，<b>过载：</b>（2）,MINION,,,,,,,,,,,,,,2.0,与萨满祭司职业一同解锁。,,,,,史诗,16.0,9.231275756211538,1.7332382243303615,萨满
Lucas Graciano,5.0,WARLOCK,True,5,111457,召唤末日守卫有很大的风险。总得有人付出生命的代价。,7.0,使用术士赢得100场对战后解锁。,CORE_EX1_310,"['BATTLECRY', 'CHARGE']",末日守卫,DEMON,['DEMON'],RARE,CORE,<b>冲锋</b>，<b>战吼：</b>随机弃两张牌。,MINION,,,,,,,,,,,,,,,与术士职业一同解锁。,,,,,稀有,12.0,9.231275756211538,1.299928668247771,术士
Alex Horley Orlandelli,3.0,WARLOCK,True,1,69636,小鬼们喜欢引火上身。它们就是喜欢。,2.0,使用术士赢得50场对战后解锁。,CORE_EX1_319,['BATTLECRY'],烈焰小鬼,DEMON,['DEMON'],COMMON,CORE,<b>战吼：</b>对你的英雄造成3点伤害。,MINION,,,,,,,,,,,,,,,与术士职业一同解锁。,,,,,普通,5.0,3.1243967724653157,1.6003089121279348,术士
Doug Alexander,3.0,PALADIN,True,2,69611,“我没说你能够躲过火球。我是说有了这盾，你就不需要躲了。”,2.0,使用圣骑士赢得50场对战后解锁。,CORE_EX1_362,['BATTLECRY'],银色保卫者,,,COMMON,CORE,<b>战吼：</b>使一个其他友方随从获得<b>圣盾</b>。,MINION,,['DIVINE_SHIELD'],,,,使其获得<b>圣盾</b>。,,,,,,,,,与圣骑士职业一同解锁。,,,,,普通,5.0,4.651116518401871,1.0750106947907652,圣骑士
Brom,8.0,PALADIN,True,8,69613,如果你还没听过《提里奥·弗丁主题曲》，那是因为它还没被谱写出来。,8.0,使用圣骑士赢得500场对战后解锁。,CORE_EX1_383,"['DEATHRATTLE', 'DIVINE_SHIELD', 'TAUNT']",提里奥·弗丁,,,LEGENDARY,CORE,"<b>圣盾</b>，<b>嘲讽</b>，<b>亡语：</b>装备一把5/3的
灰烬使者。",MINION,,,,True,,,,,,,,,,,与圣骑士职业一同解锁。,,,,,传说,16.0,13.811434994021205,1.1584603632371435,圣骑士
Glenn Rane,4.0,WARRIOR,True,8,69643,灰谷南方，来自地狱的咆哮还在回响。,9.0,使用战士赢得500场对战后解锁。,CORE_EX1_414,"['CHARGE', 'ENRAGED']",格罗玛什·地狱咆哮,,,LEGENDARY,CORE,"<b>冲锋</b>
受伤时拥有+6攻
击力。",MINION,,,,True,,,,,,,,,,,与战士职业一同解锁。,,,,,传说,13.0,13.811434994021205,0.941249045130179,战士
Dan Scott,2.0,NEUTRAL,True,2,69557,“死亡之潮升涌而起！”,1.0,总计赢得500场对战后解锁。,CORE_EX1_506,['BATTLECRY'],鱼人猎潮者,MURLOC,['MURLOC'],COMMON,CORE,<b>战吼：</b>召唤一个1/1的鱼人斥候。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,3.0,4.651116518401871,0.6450064168744591,中立
Tim McBurnie,3.0,NEUTRAL,True,3,76270,鱼人们老是发出一样的声音，难道不觉得厌烦吗？不！姆格拉咕嗯噜咕噜咕噜咕噜咕噜！,3.0,总计赢得2500场对战后解锁。,CORE_EX1_507,['AURA'],鱼人领军,MURLOC,['MURLOC'],EPIC,CORE,你的其他鱼人拥有+2攻击力。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,史诗,6.0,6.177836264338427,0.9712138268595775,中立
Jaemin Kim,1.0,NEUTRAL,True,1,69675,每当他和他的家人团聚时，这个家伙会变得特别厉害。,2.0,总计赢得1000场对战后解锁。,CORE_EX1_509,['TRIGGER_VISUAL'],鱼人招潮者,MURLOC,['MURLOC'],RARE,CORE,"每当你召唤一个鱼人，便获得
+1攻击力。",MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,稀有,3.0,3.1243967724653157,0.9601853472767609,中立
Wayne Reynolds,5.0,MAGE,True,7,120426,肯瑞托的首席法师，达拉然最伟大的子民，安东尼达斯在被巫妖王阿尔萨斯杀死之前，曾是吉安娜的导师。,7.0,使用法师赢得500场对战后解锁。,CORE_EX1_559,['TRIGGER_VISUAL'],大法师安东尼达斯,,,LEGENDARY,CORE,每当你施放一个法术，将一张“火球术”法术牌置入你的手牌。,MINION,,,,True,,,,,,,,,,,与法师职业一同解锁。,1080.0,,,,传说,12.0,12.284715248084652,0.9768236184286776,法师
Simon Bisley,2.0,WARRIOR,True,3,69645,在投身狂战士这份很有前途的工作之前，他是一个会计。,4.0,使用战士赢得100场对战后解锁。,CORE_EX1_604,['TRIGGER_VISUAL'],暴乱狂战士,,,RARE,CORE,"每当一个随从
受到伤害，便获得+1攻击力。",MINION,,,,,,,,,,,,,,,与战士职业一同解锁。,,,,,稀有,6.0,6.177836264338427,0.9712138268595775,战士
Sam Hogg,0.0,SHAMAN,True,0,130790,到底是女巫变成了青蛙，还是青蛙变成了女巫？,1.0,使用萨满祭司赢得50场对战后解锁。,CORE_GIL_531,"['BATTLECRY', 'TAUNT']",女巫的学徒,BEAST,['BEAST'],COMMON,CORE,<b>嘲讽，战吼：</b>随机将一张萨满祭司法术牌置入你的手牌。,MINION,,,,,,,,,,,,,,,与萨满祭司职业一同解锁。,46998.0,,,,普通,1.0,1.5976770265287596,0.6259087308607545,萨满
A. J. Nazzaro,3.0,NEUTRAL,True,3,97343,月底缺钱吗？讨厌探险者协会吗？来加入我们吧！,3.0,总计赢得500场对战后解锁。,CORE_GIL_534,['TRIGGER_VISUAL'],荆棘帮暴徒,QUILBOAR,['QUILBOAR'],COMMON,CORE,在你的英雄攻击后，使本随从获得+1/+1。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,6.0,6.177836264338427,0.9712138268595775,中立
Luca Zontini,2.0,NEUTRAL,True,1,129175,除去四颗牙，都是高蛋白。,1.0,总计赢得500场对战后解锁。,CORE_GIL_558,['LIFESTEAL'],沼泽水蛭,BEAST,['BEAST'],COMMON,CORE,<b>吸血</b>,MINION,,,,,,,,,,,,,,,完成教学后解锁。,47072.0,,,,普通,3.0,3.1243967724653157,0.9601853472767609,中立
Slawomir Maniak,3.0,NEUTRAL,True,4,76320,饿昏头的时候，它也会吸零度圣水。,3.0,总计赢得1000场对战后解锁。,CORE_GIL_622,['BATTLECRY'],吸血蚊,BEAST,['BEAST'],RARE,CORE,<b>战吼：</b>对敌方英雄造成3点伤害。为你的英雄恢复#3点生命值。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,稀有,6.0,7.704556010274983,0.7787599949949425,中立
Alex Alexandrov,3.0,NEUTRAL,True,5,130791,虽然看似有点不现实，但还是有很多人想拿它当坐骑。,12.0,总计赢得1000场对战后解锁。,CORE_GIL_623,"['BATTLECRY', 'TAUNT']",女巫森林灰熊,BEAST,['BEAST'],RARE,CORE,"<b>嘲讽</b>。<b>战吼：</b>
你的对手每有一张手牌，本随从便失去1点生命值。",MINION,,,,,,,,,,,,,,,完成教学后解锁。,47346.0,,,,稀有,15.0,9.231275756211538,1.6249108353097137,中立
Matt Dixon,1.0,NEUTRAL,True,2,69718,发明吵吵机器人的工程师先是被工匠学院立即开除，然后被赶出了工匠镇，最后被驱逐出了东部王国。,2.0,总计赢得500场对战后解锁。,CORE_GVG_085,"['DIVINE_SHIELD', 'TAUNT']",吵吵机器人,MECHANICAL,['MECHANICAL'],COMMON,CORE,"<b>嘲讽</b>
<b>圣盾</b>",MINION,,,,,,,,,,,,,,,完成教学后解锁。,,2.0,,,普通,3.0,4.651116518401871,0.6450064168744591,中立
Skan Srisuwan,1.0,NEUTRAL,True,2,130823,它虽然体型不大，但它学习战斗的能力却非常惊人。,2.0,总计赢得500场对战后解锁。,CORE_GVG_103,['TRIGGER_VISUAL'],微型战斗机甲,MECHANICAL,['MECHANICAL'],COMMON,CORE,在每个回合开始时，获得+1攻击力。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,2071.0,,,,普通,3.0,4.651116518401871,0.6450064168744591,中立
Christopher Moeller,5.0,NEUTRAL,True,7,120575,当斯尼德在死亡矿井被击败后，他的伐木机在一次拍卖中被一位匿名买家收购。（可能是霍格。）,7.0,总计赢得5000场对战后解锁。,CORE_GVG_114,['DEATHRATTLE'],斯尼德的伐木机,MECHANICAL,['MECHANICAL'],LEGENDARY,CORE,<b>亡语：</b>随机召唤一个<b>传说</b>随从。,MINION,,,,True,,,,,,,,,,,完成教学后解锁。,2082.0,,,,传说,12.0,12.284715248084652,0.9768236184286776,中立
Evgeniy Dlinnov,1.0,PALADIN,True,1,69705,本来想起名叫烈日保护者，但这里实在是太冷了。,1.0,使用圣骑士赢得50场对战后解锁。,CORE_ICC_038,"['DIVINE_SHIELD', 'TAUNT']",正义保护者,,,COMMON,CORE,"<b>嘲讽</b>
<b>圣盾</b>",MINION,,,,,,,,,,,,,,,与圣骑士职业一同解锁。,,,,,普通,2.0,3.1243967724653157,0.6401235648511739,圣骑士
Paul Kwon,2.0,PRIEST,True,2,95746,当你已经身处最底层时，只能往上升了。,3.0,使用牧师赢得50场对战后解锁。,CORE_ICC_210,['TRIGGER_VISUAL'],暗影升腾者,UNDEAD,['UNDEAD'],COMMON,CORE,在你的回合结束时，随机使另一个友方随从获得+1/+1。,MINION,,,,,,,,,,,,,,,与牧师职业一同解锁。,,,,,普通,5.0,4.651116518401871,1.0750106947907652,牧师
A. J. Nazzaro,4.0,PRIEST,True,9,95732,原画师花了大量工夫，用凿子在面部精雕细琢，才表现出这副嘲讽的表情。,8.0,使用牧师赢得250场对战后解锁。,CORE_ICC_214,"['DEATHRATTLE', 'LIFESTEAL', 'TAUNT']",黑曜石雕像,,,EPIC,CORE,"<b>嘲讽</b>，<b>吸血</b>
<b>亡语：</b>随机消灭一个敌方随从。",MINION,,,,,,,,,,,,,,,与牧师职业一同解锁。,,,,,史诗,12.0,15.338154739957762,0.7823626898702839,牧师
Matt Dixon,2.0,WARLOCK,True,2,95710,她更喜欢别人叫她“吸血靓妹”。,3.0,使用术士赢得250场对战后解锁。,CORE_ICC_407,['BATTLECRY'],侏儒吸血鬼,UNDEAD,['UNDEAD'],EPIC,CORE,<b>战吼：</b>移除你对手的牌库顶的一张牌。,MINION,,,,,,,,,,,,,,,与术士职业一同解锁。,,,,,史诗,5.0,4.651116518401871,1.0750106947907652,术士
Zoltan Boros,4.0,PALADIN,True,4,130821,如何骑上去，这是一个问题。,4.0,使用圣骑士赢得100场对战后解锁。,CORE_KAR_057,"['BATTLECRY', 'DISCOVER']",象牙骑士,,,RARE,CORE,<b>战吼：</b><b>发现</b>一张法术牌。为你的英雄恢复等同于其法力值消耗的生命值。,MINION,,,,,,,,,,,,,,,与圣骑士职业一同解锁。,39439.0,,,,稀有,8.0,7.704556010274983,1.0383466599932567,圣骑士
Wei Wang,4.0,NEUTRAL,True,5,120180,年久失修的馆长，脾气也变得十分古怪。,6.0,总计赢得5000场对战后解锁。,CORE_KAR_061,"['BATTLECRY', 'TAUNT']",馆长,MECHANICAL,['MECHANICAL'],LEGENDARY,CORE,<b>嘲讽</b>。<b>战吼：</b>抽取野兽牌，龙牌和鱼人牌各一张。,MINION,,,,True,,,,,,,,,,,完成教学后解锁。,39225.0,,,,传说,10.0,9.231275756211538,1.0832738902064758,中立
Ralph Horsley,2.0,NEUTRAL,True,2,120172,她会告诉你当年那些没挡着绿光的人，现在都回家带孩子去了！,3.0,总计赢得500场对战后解锁。,CORE_KAR_062,"['BATTLECRY', 'DISCOVER']",虚空幽龙史学家,,,COMMON,CORE,<b>战吼：</b>如果你的手牌中有龙牌，便<b>发现</b>一张龙牌。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,39554.0,,,,普通,5.0,4.651116518401871,1.0750106947907652,中立
Zoltan Boros,1.0,ROGUE,True,1,69742,只要两杯朗姆酒，他就能吹上一整天！,2.0,使用潜行者赢得50场对战后解锁。,CORE_KAR_069,['BATTLECRY'],吹嘘海盗,PIRATE,['PIRATE'],COMMON,CORE,<b>战吼：</b>随机将一张另一职业的卡牌置入你的手牌。,MINION,,,,,,,,,,,,,,,与潜行者职业一同解锁。,,,,,普通,3.0,3.1243967724653157,0.9601853472767609,潜行者
Skan Srisuwan,3.0,NEUTRAL,True,3,86548,A1和A2型机械金刚都发疯了，早知道不给它们喂香蕉了……,4.0,总计赢得500场对战后解锁。,CORE_LOE_039,"['BATTLECRY', 'DISCOVER']",A3型机械金刚,MECHANICAL,"['MECHANICAL', 'BEAST']",COMMON,CORE,<b>战吼：</b>如果你控制着其他机械，<b>发现</b>一张机械牌。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,7.0,6.177836264338427,1.1330827980028404,中立
Steve Prescott,2.0,WARLOCK,True,2,117060,他总想朝别人做粗鄙的手势，幸好他没有中指。,4.0,使用术士赢得50场对战后解锁。,CORE_LOOT_013,"['BATTLECRY', 'TAUNT']",粗俗的矮劣魔,DEMON,['DEMON'],COMMON,CORE,<b>嘲讽，战吼：</b>对你的英雄造成2点伤害。,MINION,,,,,,,,,,,,,,,与术士职业一同解锁。,43121.0,1.0,,,普通,6.0,4.651116518401871,1.2900128337489183,术士
Sean McNally,6.0,NEUTRAL,True,9,69726,当地村民把她称为“那座沉睡的山丘”。,12.0,总计赢得500场对战后解锁。,CORE_LOOT_137,['TAUNT'],贪睡巨龙,DRAGON,['DRAGON'],COMMON,CORE,<b>嘲讽</b>,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,18.0,15.338154739957762,1.1735440348054258,中立
Jerry Mascho,3.0,WARLOCK,True,9,126893,他能让一切归于虚空，包括每个月的信用卡账单。,9.0,使用术士赢得250场对战后解锁。,CORE_LOOT_368,"['DEATHRATTLE', 'TAUNT']",虚空领主,DEMON,['DEMON'],EPIC,CORE,"<b>嘲讽，亡语：</b>
召唤三个1/3并具有<b>嘲讽</b>的恶魔。",MINION,,,,,,,,,,,,,,,与术士职业一同解锁。,46056.0,,,,史诗,12.0,15.338154739957762,0.7823626898702839,术士
Ian Ameling,2.0,NEUTRAL,True,2,76323,“好了，你的队伍打败了那只甲虫。”“我要把它放在头上。”“什么？”“我要把它戴在头上，像帽子一样。”,3.0,总计赢得500场对战后解锁。,CORE_LOOT_413,['DEATHRATTLE'],硬壳甲虫,BEAST,['BEAST'],COMMON,CORE,"<b>亡语：</b>
获得3点护甲值。",MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,5.0,4.651116518401871,1.0750106947907652,中立
Jim Nelson,2.0,NEUTRAL,True,2,69677,“我一个星期只出去打劫七天。”,3.0,总计赢得500场对战后解锁。,CORE_NEW1_018,['BATTLECRY'],血帆袭击者,PIRATE,['PIRATE'],COMMON,CORE,"<b>战吼：</b>
获得等同于你的武器攻击力的攻击力。",MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,5.0,4.651116518401871,1.0750106947907652,中立
Alex Horley Orlandelli,3.0,NEUTRAL,True,2,76321,爆炸吧，宝贝儿！炸得越烂越好！让那些统治者去死吧！,2.0,总计赢得1000场对战后解锁。,CORE_NEW1_020,['TRIGGER_VISUAL'],狂野炎术师,UNDEAD,['UNDEAD'],RARE,CORE,在你施放一个法术后，对所有随从造成1点伤害。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,稀有,5.0,4.651116518401871,1.0750106947907652,中立
Alex Horley Orlandelli,0.0,NEUTRAL,True,2,76317,他的预言几乎都是准确的。他确信，大约会是在《大地的裂变》。,7.0,总计赢得2500场对战后解锁。,CORE_NEW1_021,['TRIGGER_VISUAL'],末日预言者,,,EPIC,CORE,在你的回合开始时，消灭所有随从。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,史诗,7.0,4.651116518401871,1.5050149727070712,中立
Trent Kaniuga,3.0,NEUTRAL,True,4,102230,“呀”在海盗的行话中代表“你好啊，有钱人。”,3.0,总计赢得500场对战后解锁。,CORE_NEW1_022,['TAUNT'],恐怖海盗,PIRATE,['PIRATE'],COMMON,CORE,"<b>嘲讽</b>
你的武器每有1点攻击力，本牌的法力值消耗便减少（1）点。",MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,6.0,7.704556010274983,0.7787599949949425,中立
Samwise,3.0,NEUTRAL,True,2,76329,可爱至极，免疫魔法，不会在毯子上撒尿。真是完美的宠物！,2.0,总计赢得500场对战后解锁。,CORE_NEW1_023,['ELUSIVE'],精灵龙,DRAGON,['DRAGON'],COMMON,CORE,<b>扰魔</b>,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,普通,5.0,4.651116518401871,1.0750106947907652,中立
Ken Steacy,3.0,NEUTRAL,True,3,69679,当他掠夺到足够的财宝之后，他一定要去订做一顶帅气的船长帽子。他是帽子控。,3.0,总计赢得2500场对战后解锁。,CORE_NEW1_027,['AURA'],南海船长,PIRATE,['PIRATE'],EPIC,CORE,你的其他海盗拥有+1/+1。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,,,,,史诗,6.0,6.177836264338427,0.9712138268595775,中立
Daniil Kudriavtsev,4.0,WARRIOR,True,3,120574,还有，更多！要找个人掌舵！,3.0,使用战士赢得50场对战后解锁。,CORE_NX2_028,['TRIGGER_VISUAL'],钩拳-3000型,PIRATE,"['MECHANICAL', 'PIRATE']",COMMON,CORE,在你的英雄攻击后，获得4点护甲值并抽一张牌。,MINION,,,,,,,,,,,,,,,与战士职业一同解锁。,86692.0,,True,,普通,7.0,6.177836264338427,1.1330827980028404,战士
Anton Zemskov,3.0,DRUID,True,4,76287,每当范达尔·鹿盔举起酒杯，并以“想当年我在种世界之树的时候……”为开场白在那老调重弹时，众酒客便会作鸟兽散。,6.0,使用德鲁伊赢得500场对战后解锁。,CORE_OG_044,['AURA'],范达尔·鹿盔,,,LEGENDARY,CORE,你的<b>抉择</b>牌和英雄技能可以同时拥有两种效果。,MINION,,['CHOOSE_ONE'],,True,,,,,,,,,,,与德鲁伊职业一同解锁。,,,,,传说,9.0,7.704556010274983,1.1681399924924138,德鲁伊
Dany Orizio,3.0,WARRIOR,True,3,120573,别看他个头不大，脾气倒不小。,3.0,使用战士赢得50场对战后解锁。,CORE_OG_149,['BATTLECRY'],暴虐食尸鬼,UNDEAD,['UNDEAD'],COMMON,CORE,<b>战吼：</b>对所有其他随从造成1点伤害。,MINION,,,,,,,,,,,,,,,与战士职业一同解锁。,38530.0,,,,普通,6.0,6.177836264338427,0.9712138268595775,战士
Paul Mafayon,2.0,WARRIOR,True,4,76303,上古之神对他低语了很长时间他才回过神来，看来这位勇士真的该好好检查一下听力了。,6.0,使用战士赢得50场对战后解锁。,CORE_OG_218,"['ENRAGED', 'TAUNT']",血蹄勇士,,,COMMON,CORE,"<b>嘲讽</b>
受伤时拥有+3攻
击力。",MINION,,,,,,,,,,,,,,,与战士职业一同解锁。,,,,,普通,8.0,7.704556010274983,1.0383466599932567,战士
BOSi Studio,4.0,DRUID,True,5,129216,某些德鲁伊口中的平衡，是自然和奥术之间的平衡。而某些德鲁伊口中的平衡，是对手生命值和自身生命值之间的平衡。,5.0,使用德鲁伊赢得100场对战后解锁。,CORE_ONY_018,['CHOOSE_ONE'],暴烈枭兽,,,RARE,CORE,<b>抉择：</b>为你的英雄恢复#8点生命值；或者造成4点伤害。,MINION,,,,,,,,,,,,,,,与德鲁伊职业一同解锁。,71241.0,,True,,稀有,9.0,9.231275756211538,0.9749465011858283,德鲁伊
Vladimir Kafanov,1.0,PALADIN,True,2,128336,她是那种最接地气的圣骑士……除非她站起身来。,3.0,使用圣骑士赢得100场对战后解锁。,CORE_ONY_022,"['BATTLECRY', 'DISCOVER']",武装教士,DRAENEI,['DRAENEI'],RARE,CORE,<b>战吼：</b><b>发现</b>一张神圣法术牌。,MINION,,,,,,,,,,,,,,,与圣骑士职业一同解锁。,71248.0,,True,,稀有,4.0,4.651116518401871,0.8600085558326122,圣骑士
Mike Sass,3.0,NEUTRAL,True,3,115971,“是大帝亲口说的，他想要开放式设计……”,3.0,总计赢得2500场对战后解锁。,CORE_REV_023,"['BATTLECRY', 'TRADEABLE']",拆迁修理工,,,EPIC,CORE,"<b>可交易</b>
<b>战吼：</b>摧毁一个敌方地标。",MINION,,,,,,摧毁一个敌方<b>地标</b>。,,,,,,,,,完成教学后解锁。,79990.0,,,,史诗,6.0,6.177836264338427,0.9712138268595775,中立
Ishmael Hoover,1.0,NEUTRAL,True,2,118076,“那么在您的左手边呢，您还可以看到一尊更大的德纳修斯大帝雕像！”,1.0,总计赢得500场对战后解锁。,CORE_REV_308,['BATTLECRY'],迷宫向导,,,COMMON,CORE,<b>战吼：</b>随机召唤一个法力值消耗为（2）的随从。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,77491.0,,,,普通,2.0,4.651116518401871,0.4300042779163061,中立
Daniil Kudriavtsev,5.0,NEUTRAL,True,5,118163,自从心能短缺，工作清闲了下来。地上迸溅的心能少多了！,5.0,总计赢得1000场对战后解锁。,CORE_REV_946,['BATTLECRY'],蒸汽清洁器,MECHANICAL,['MECHANICAL'],RARE,CORE,<b>战吼：</b>摧毁双方玩家牌库中所有套牌之外的牌。,MINION,,,,,,,,,,,,,,,完成教学后解锁。,78079.0,,,,稀有,10.0,9.231275756211538,1.0832738902064758,中立
Mauricio Herrera,1.0,DEATHKNIGHT,True,4,111319,这还得熬多久？熬到死都不算完。,3.0,使用死亡骑士赢得50场对战后解锁。,CORE_RLK_062,"['BATTLECRY', 'TAUNT']",蛛魔护群守卫,UNDEAD,['UNDEAD'],COMMON,CORE,<b>嘲讽</b>。<b>战吼：</b>召唤本随从的两个复制。,MINION,,,,,,,,,,,,,,,与死亡骑士职业一同解锁。,,,,,普通,4.0,7.704556010274983,0.5191733299966284,
Dez Bencosme,2.0,DEATHKNIGHT,True,2,111320,就让她来帮你！重塑！形体！,3.0,使用死亡骑士赢得100场对战后解锁。,CORE_RLK_066,['BATTLECRY'],鲜血魔术师,,,RARE,CORE,<b>战吼：</b>消耗一份<b>残骸</b>，<b>发现</b>一张鲜血符文牌。,MINION,,['DISCOVER'],,,"{'blood': 1, 'frost': 0, 'unholy': 0}",,,,,,,,,,与死亡骑士职业一同解锁。,,,,,稀有,5.0,4.651116518401871,1.0750106947907652,
Ramzy Kamen,2.0,DEATHKNIGHT,True,2,117027,死亡本就是冰冷的，朋友……放松，躺好，别的什么都不用做。,3.0,使用死亡骑士赢得100场对战后解锁。,CORE_RLK_083,['TRIGGER_VISUAL'],死亡寒冰,ELEMENTAL,['ELEMENTAL'],RARE,CORE,在你施放一个法术后，随机对两个敌人造成1点伤害。,MINION,,,,,"{'blood': 0, 'frost': 2, 'unholy': 0}",,,,,,,,,,与死亡骑士职业一同解锁。,78649.0,,,,稀有,5.0,4.651116518401871,1.0750106947907652,
Konstantin Porubov,2.0,DEATHKNIGHT,True,2,111328,头衔里带一个师字，头发里全都是虱子。,3.0,使用死亡骑士赢得50场对战后解锁。,CORE_RLK_116,['BATTLECRY'],死灵殡葬师,,,COMMON,CORE,<b>战吼：</b>如果在你的上回合之后有友方亡灵死亡，<b>发现</b>一张邪恶符文牌。,MINION,,['DISCOVER'],,,"{'blood': 0, 'frost': 0, 'unholy': 1}",,,,,,,,,,与死亡骑士职业一同解锁。,,,,,普通,5.0,4.651116518401871,1.0750106947907652,
Grafit,2.0,DEATHKNIGHT,True,3,111318,“我看到了死人。很多很多死人。”,4.0,使用死亡骑士赢得50场对战后解锁。,CORE_RLK_121,['TRIGGER_VISUAL'],死亡侍僧,,,COMMON,CORE,在一个友方亡灵死亡后，抽一张牌。,MINION,,,,,,,,,,,,,,,与死亡骑士职业一同解锁。,,,,,普通,6.0,6.177836264338427,0.9712138268595775,
Anzka Nguyen,5.0,DEATHKNIGHT,True,6,111323,还能帮你补钙，足足1000毫克。,5.0,使用死亡骑士赢得100场对战后解锁。,CORE_RLK_505,['BATTLECRY'],髓骨使御者,UNDEAD,['UNDEAD'],RARE,CORE,<b>战吼：</b>消耗最多5份<b>残骸</b>。每消耗一份残骸，随机对一个敌人造成2点伤害。,MINION,,,,,"{'blood': 0, 'frost': 2, 'unholy': 0}",,,,,,,,,,与死亡骑士职业一同解锁。,,,,,稀有,10.0,10.757995502148095,0.9295411954767278,
Grafit,8.0,DEATHKNIGHT,True,8,128334,炉石也有合作指挥官了？终于来了！,8.0,使用死亡骑士赢得100场对战后解锁。,CORE_RLK_506,"['BATTLECRY', 'TAUNT']",白骨卫士指挥官,UNDEAD,['UNDEAD'],RARE,CORE,<b>嘲讽</b>。<b>战吼：</b>将最多6份<b>残骸</b>复活为1/3并具有<b>嘲讽</b>的复活的步兵。,MINION,,,,,"{'blood': 1, 'frost': 0, 'unholy': 0}",,,,,,,,,,与死亡骑士职业一同解锁。,80830.0,,,,稀有,16.0,13.811434994021205,1.1584603632371435,
L. Lullabi & K. Turovec,6.0,DRUID,True,7,129171,“都看好了，我是地底虫王！我一直在你们下面，可是没人在我下面！我现在对和平与幸福宣战。要不了多久，一切都会在我面前颤抖！”,6.0,使用德鲁伊赢得250场对战后解锁。,CORE_RLK_657,"['BATTLECRY', 'DEATHRATTLE', 'RUSH']",地底虫王,UNDEAD,['UNDEAD'],EPIC,CORE,<b>突袭</b>。<b>战吼，亡语：</b>获得6点护甲值。,MINION,,,,,,,,,,,,,,,与德鲁伊职业一同解锁。,85052.0,,,,史诗,12.0,12.284715248084652,0.9768236184286776,德鲁伊
Ivan Fomin,7.0,DEATHKNIGHT,True,7,127536,莫格莱尼，莫得问题。,7.0,使用死亡骑士赢得500场对战后解锁。,CORE_RLK_706,['BATTLECRY'],亚历山德罗斯·莫格莱尼,UNDEAD,['UNDEAD'],LEGENDARY,CORE,<b>战吼：</b>在本局对战的剩余时间内，在你的回合结束时，对你的对手造成3点伤害。,MINION,,,,True,"{'blood': 3, 'frost': 0, 'unholy': 0}",,,,,,,,,,与死亡骑士职业一同解锁。,80644.0,,,,传说,14.0,12.284715248084652,1.1396275548334573,
Richie Marella,2.0,DEATHKNIGHT,True,4,120876,战痘力爆表。,4.0,使用死亡骑士赢得50场对战后解锁。,CORE_RLK_745,"['REBORN', 'TRIGGER_VISUAL']",恶毒恐魔,UNDEAD,['UNDEAD'],COMMON,CORE,"<b>复生</b>。
在你的回合结束时，消耗4份<b>残骸</b>，召唤一个本随从的复制。",MINION,,,,,,,,,,,,,,,与死亡骑士职业一同解锁。,82073.0,,,,普通,6.0,7.704556010274983,0.7787599949949425,
A.J. Nazzaro,1.0,PRIEST,True,1,129166,“我纯粹只是觉得它纯粹。”,2.0,使用牧师赢得50场对战后解锁。,CORE_RLK_814,['BATTLECRY'],异教水晶工匠,,,COMMON,CORE,<b>战吼：</b>如果你的手牌中有暗影法术牌，获得+1/+1。,MINION,,,,,,,,,,,,,,,与牧师职业一同解锁。,84204.0,,,,普通,3.0,3.1243967724653157,0.9601853472767609,牧师
